episode,reward
0.000000000000000000e+00,5.605614307030778676e+00
1.000000000000000000e+00,1.112620787612270590e+01
2.000000000000000000e+00,1.029509639367803331e+01
3.000000000000000000e+00,7.465945913491127683e+00
4.000000000000000000e+00,1.358010723091246597e+01
5.000000000000000000e+00,1.197249011531821949e+01
6.000000000000000000e+00,9.394909409217280682e+00
7.000000000000000000e+00,1.310785937297182180e+01
8.000000000000000000e+00,1.154995937443701237e+01
9.000000000000000000e+00,1.221947694123364236e+01
1.000000000000000000e+01,1.332508133417790042e+01
1.100000000000000000e+01,1.511001504095587578e+01
1.200000000000000000e+01,1.527745091453419057e+01
1.300000000000000000e+01,1.545845320415549828e+01
1.400000000000000000e+01,1.977388758116769552e+01
1.500000000000000000e+01,1.710044376549665657e+01
1.600000000000000000e+01,1.635212532794447426e+01
1.700000000000000000e+01,1.928312019168127378e+01
1.800000000000000000e+01,2.022775990835368631e+01
1.900000000000000000e+01,1.957136310780725097e+01
2.000000000000000000e+01,2.035283537361892670e+01
2.100000000000000000e+01,2.121512731683465702e+01
2.200000000000000000e+01,1.840121739670828660e+01
2.300000000000000000e+01,2.151988822859184225e+01
2.400000000000000000e+01,1.894147211469752889e+01
2.500000000000000000e+01,2.027176600189934419e+01
2.600000000000000000e+01,1.936494857813191217e+01
2.700000000000000000e+01,2.169945742842157799e+01
2.800000000000000000e+01,2.128320711963908352e+01
2.900000000000000000e+01,1.783179841884022565e+01
3.000000000000000000e+01,2.092679013747218875e+01
3.100000000000000000e+01,2.098656716712671866e+01
3.200000000000000000e+01,2.070010040576634935e+01
3.300000000000000000e+01,2.087355450116060496e+01
3.400000000000000000e+01,2.108355450234803641e+01
3.500000000000000000e+01,1.929351968695829811e+01
3.600000000000000000e+01,1.764013052570572171e+01
3.700000000000000000e+01,2.090355060600115067e+01
3.800000000000000000e+01,2.058688375626734413e+01
3.900000000000000000e+01,2.113022101959925436e+01
4.000000000000000000e+01,1.878332328197036460e+01
4.100000000000000000e+01,1.968355012778965829e+01
4.200000000000000000e+01,2.128490078540014707e+01
4.300000000000000000e+01,2.053015881977631807e+01
4.400000000000000000e+01,1.975349162508361545e+01
4.500000000000000000e+01,2.127355450236966661e+01
4.600000000000000000e+01,2.086355450236967002e+01
4.700000000000000000e+01,2.084179466259143254e+01
4.800000000000000000e+01,2.104688783570264121e+01
4.900000000000000000e+01,2.142022116903633489e+01
5.000000000000000000e+01,1.959349214258619298e+01
5.100000000000000000e+01,2.132022116903634057e+01
5.200000000000000000e+01,2.113355450236966959e+01
5.300000000000000000e+01,2.056355450236967286e+01
5.400000000000000000e+01,2.064355450116341473e+01
5.500000000000000000e+01,2.133179867246569117e+01
5.600000000000000000e+01,2.086679865093673669e+01
5.700000000000000000e+01,1.975355450236967414e+01
5.800000000000000000e+01,2.086022116903633972e+01
5.900000000000000000e+01,2.072022116903633560e+01
6.000000000000000000e+01,2.123355450236966746e+01
6.100000000000000000e+01,2.154688782654618606e+01
6.200000000000000000e+01,2.048022116903634071e+01
6.300000000000000000e+01,2.051355450236966860e+01
6.400000000000000000e+01,2.123355450236966746e+01
6.500000000000000000e+01,2.092352405359286394e+01
6.600000000000000000e+01,2.092022116903634199e+01
6.700000000000000000e+01,2.132022116903633702e+01
6.800000000000000000e+01,2.111352370766194753e+01
6.900000000000000000e+01,2.042022116903634199e+01
7.000000000000000000e+01,2.048688783570300487e+01
7.100000000000000000e+01,2.104688783570300714e+01
7.200000000000000000e+01,2.113355397434129301e+01
7.300000000000000000e+01,2.143355450236966675e+01
7.400000000000000000e+01,2.102022116903633986e+01
7.500000000000000000e+01,2.102022116903633631e+01
7.600000000000000000e+01,1.918688783569983514e+01
7.700000000000000000e+01,2.104688783570300004e+01
7.800000000000000000e+01,2.132022116903633702e+01
7.900000000000000000e+01,2.122022116903633915e+01
8.000000000000000000e+01,2.079355450236966973e+01
8.100000000000000000e+01,2.124682548644615920e+01
8.200000000000000000e+01,2.052022116903633631e+01
8.300000000000000000e+01,1.948688783552012893e+01
8.400000000000000000e+01,1.950022116887437207e+01
8.500000000000000000e+01,2.082022116903633702e+01
8.600000000000000000e+01,2.122022116903633560e+01
8.700000000000000000e+01,2.101355450236966860e+01
8.800000000000000000e+01,1.966022116903316785e+01
8.900000000000000000e+01,2.132022116903633702e+01
9.000000000000000000e+01,2.102022116903633631e+01
9.100000000000000000e+01,2.101998934973851618e+01
9.200000000000000000e+01,2.101355450236966860e+01
