return,crashed
25.333,False
1.501,True
6.6,True
22.376,False
23.23,False
10.11,True
22.202,False
21.379,False
21.62,False
21.075,False
21.754,False
4.0,True
22.045,False
21.497,False
20.82,False
24.133,False
21.733,True
2.606,True
8.733,True
5.778,True
24.971,False
24.44,False
19.942,True
5.927,True
17.031,True
13.789,True
8.626,True
20.055,True
11.66,True
9.889,True
10.042,True
7.844,True
6.8,True
15.242,True
11.353,True
6.466,True
20.7,True
3.352,True
1.761,True
5.619,True
11.107,True
1.8,True
9.728,True
5.802,True
11.488,True
14.955,True
6.428,True
23.995,False
2.4,True
11.399,True
