iter,mean_discounted_episode_return
0,5.087
1,5.141
2,5.253
3,5.972
4,6.139
5,5.888
6,6.432
7,6.619
8,6.583
9,6.683
10,6.697
11,6.839
12,6.737
13,6.402
14,6.482
15,6.696
16,6.694
17,6.593
18,6.543
19,6.649
20,6.765
21,6.812
22,6.369
23,6.641
24,6.543
25,6.655
26,6.91
27,6.712
28,6.313
29,6.61
30,6.554
31,6.717
32,6.975
33,6.887
34,6.567
35,6.522
36,6.949
37,6.496
38,6.36
39,6.661
40,6.64
41,6.645
42,6.661
43,6.725
44,6.56
45,6.997
46,7.126
47,6.72
48,7.076
49,6.853
50,6.396
51,7.21
52,6.945
53,6.612
54,6.734
55,6.536
56,6.617
57,6.535
58,6.665
59,6.61
60,6.907
61,7.053
62,6.607
63,6.971
64,6.876
65,6.714
66,6.684
67,6.938
68,7.157
69,7.403
70,6.883
71,6.921
72,6.895
73,6.849
74,6.672
75,6.841
76,7.098
77,6.847
78,6.913
79,7.05
80,7.154
81,7.059
82,6.474
83,6.797
84,6.95
85,7.16
86,6.436
87,7.123
88,6.581
89,6.809
90,7.234
91,7.31
92,6.665
93,7.016
94,7.157
95,7.441
96,7.211
97,7.367
98,7.149
99,6.954
100,7.071
101,7.141
102,7.155
103,7.258
104,6.974
105,7.08
106,7.33
107,7.017
108,7.157
109,6.581
110,7.22
111,7.543
112,7.005
113,7.097
114,7.482
115,6.839
116,7.34
117,6.997
118,7.281
119,7.123
120,7.004
121,7.379
122,7.281
123,7.128
124,7.081
125,7.051
126,6.94
127,7.05
128,7.022
129,7.448
130,7.369
131,7.341
132,7.216
133,7.174
134,7.091
135,7.204
136,7.109
137,7.08
138,6.858
139,7.291
140,7.374
141,6.987
142,7.053
143,7.267
144,7.332
145,7.015
146,6.69
147,7.371
148,7.263
149,7.345
150,7.254
151,7.299
152,6.833
153,7.455
154,7.06
155,7.098
156,7.256
157,7.269
158,6.853
159,7.368
160,7.04
161,7.28
162,7.163
163,7.189
164,7.607
165,7.479
166,7.395
167,7.26
168,7.105
169,7.434
170,7.337
171,7.47
172,7.343
173,7.002
174,7.278
175,6.972
176,7.314
177,7.233
178,7.584
179,7.296
180,7.199
181,7.336
182,7.335
183,7.253
184,7.401
185,7.294
186,7.339
187,7.446
188,7.613
189,7.209
190,7.286
191,7.505
192,7.236
193,7.367
194,7.14
195,7.202
196,7.325
197,7.483
198,7.574
199,7.295
200,7.296
201,7.395
202,7.225
203,7.707
204,7.341
205,7.269
206,6.837
207,6.736
208,7.139
209,7.442
210,7.208
211,7.473
212,7.532
213,7.527
214,7.555
215,7.587
216,7.289
217,7.072
218,7.306
219,7.399
220,7.542
221,7.316
222,7.616
223,7.373
224,7.647
225,7.819
226,6.93
227,7.192
228,7.47
229,7.407
230,7.318
231,7.271
232,7.469
233,7.419
234,7.432
235,7.545
236,7.205
237,7.112
238,7.484
239,7.191
240,7.305
241,7.394
242,7.383
243,7.399
244,7.713
245,7.443
246,7.106
247,7.397
248,7.706
249,7.297
250,7.305
251,6.997
252,7.496
253,7.487
254,7.279
255,7.397
256,7.322
257,7.164
258,7.693
259,7.551
260,7.212
261,7.517
262,7.022
263,7.57
264,7.345
265,7.292
266,7.22
267,7.663
268,7.454
269,7.263
270,7.195
271,7.356
272,7.242
273,7.51
274,7.452
275,7.359
276,7.547
277,7.405
278,7.542
279,7.31
280,7.314
281,7.531
282,7.239
283,7.585
284,7.547
285,7.638
286,7.222
287,7.218
288,7.248
289,7.106
290,7.347
291,7.62
292,7.595
293,7.422
294,7.279
295,7.322
296,7.433
297,7.373
298,7.284
299,7.402
300,7.255
301,7.745
302,7.605
303,6.654
304,7.215
305,7.477
306,7.345
307,7.391
308,7.547
309,7.622
310,7.417
311,7.46
312,7.432
313,7.485
314,6.915
315,7.393
316,7.538
317,7.056
318,7.281
319,7.23
320,7.361
321,7.481
322,7.744
323,7.719
324,7.084
325,7.695
326,7.441
327,7.394
328,7.223
329,7.087
330,7.564
331,7.019
332,7.537
333,7.566
334,7.541
335,7.414
336,7.163
337,7.358
338,7.543
339,7.575
340,7.507
341,7.654
342,7.066
343,7.326
344,7.286
345,7.616
346,6.998
347,7.324
348,7.213
349,7.534
350,7.549
351,7.379
352,7.62
353,6.787
354,7.355
355,7.534
356,7.448
357,7.436
358,7.414
359,7.274
360,7.405
361,7.505
362,7.059
363,7.74
364,7.301
365,7.417
366,7.731
367,7.293
368,7.512
369,7.323
370,7.459
371,7.314
372,7.706
373,7.516
374,7.629
375,7.677
376,7.542
377,7.742
378,7.724
