iter,mean_episode_return
0,9.534
1,10.745
2,11.037
3,15.804
4,15.28
5,14.883
6,17.892
7,18.687
8,18.621
9,19.736
10,19.635
11,21.318
12,20.267
13,18.792
14,19.033
15,19.294
16,19.637
17,18.619
18,18.522
19,19.393
20,20.105
21,20.762
22,18.421
23,19.947
24,19.953
25,19.805
26,21.407
27,19.463
28,17.649
29,19.743
30,18.943
31,19.588
32,21.287
33,20.655
34,18.77
35,18.824
36,20.382
37,18.603
38,17.887
39,19.31
40,18.946
41,19.477
42,19.481
43,20.056
44,18.853
45,20.714
46,21.517
47,20.099
48,20.936
49,19.994
50,18.338
51,21.36
52,20.723
53,19.167
54,18.852
55,18.578
56,19.179
57,18.51
58,20.141
59,19.449
60,19.284
61,20.533
62,19.332
63,19.969
64,19.793
65,18.433
66,19.357
67,20.785
68,21.625
69,22.333
70,19.963
71,19.62
72,19.185
73,19.774
74,19.247
75,19.812
76,20.139
77,19.431
78,19.739
79,20.543
80,20.595
81,20.126
82,17.633
83,19.431
84,19.369
85,20.733
86,17.655
87,20.566
88,17.638
89,20.328
90,21.595
91,21.79
92,18.385
93,20.632
94,20.92
95,22.817
96,21.525
97,22.417
98,21.152
99,20.282
100,21.338
101,21.845
102,21.165
103,21.638
104,19.831
105,20.975
106,21.989
107,20.535
108,21.687
109,18.487
110,20.958
111,22.496
112,20.105
113,20.851
114,22.102
115,19.98
116,22.207
117,20.063
118,21.879
119,21.299
120,20.601
121,21.408
122,21.535
123,21.098
124,20.457
125,20.596
126,20.002
127,20.961
128,20.779
129,22.625
130,21.867
131,21.919
132,21.553
133,20.791
134,20.292
135,21.572
136,20.703
137,19.634
138,19.548
139,21.456
140,21.423
141,20.142
142,20.766
143,21.886
144,21.366
145,20.535
146,19.179
147,21.704
148,21.344
149,21.587
150,21.594
151,20.869
152,19.028
153,22.619
154,20.396
155,20.49
156,21.086
157,20.974
158,19.474
159,21.232
160,20.78
161,21.441
162,20.146
163,20.628
164,22.933
165,21.697
166,21.282
167,21.147
168,20.999
169,21.916
170,21.261
171,21.422
172,20.724
173,19.447
174,20.504
175,19.486
176,21.105
177,20.446
178,22.369
179,21.153
180,20.869
181,21.551
182,21.091
183,20.478
184,21.321
185,21.906
186,21.792
187,21.612
188,22.621
189,19.654
190,21.066
191,22.337
192,20.912
193,21.194
194,20.428
195,20.73
196,21.859
197,22.019
198,22.049
199,21.364
200,20.92
201,21.034
202,20.593
203,22.4
204,20.883
205,20.908
206,19.131
207,18.925
208,19.589
209,20.507
210,20.239
211,21.739
212,21.867
213,21.87
214,21.706
215,22.054
216,21.291
217,20.213
218,21.537
219,21.674
220,22.258
221,21.052
222,22.342
223,21.551
224,23.387
225,23.294
226,20.271
227,20.782
228,22.233
229,21.893
230,20.738
231,21.05
232,21.425
233,21.2
234,21.872
235,21.853
236,19.975
237,19.501
238,20.86
239,20.385
240,20.852
241,21.445
242,21.063
243,21.473
244,23.475
245,21.648
246,19.742
247,21.356
248,21.991
249,21.322
250,20.406
251,20.158
252,22.096
253,22.354
254,20.963
255,20.755
256,21.31
257,20.265
258,22.815
259,21.912
260,20.664
261,21.882
262,19.251
263,21.608
264,20.331
265,20.401
266,21.014
267,22.857
268,21.212
269,21.442
270,20.959
271,21.729
272,20.23
273,21.605
274,21.446
275,21.105
276,21.356
277,21.306
278,21.334
279,21.344
280,21.665
281,22.225
282,20.768
283,21.315
284,22.123
285,22.606
286,20.92
287,20.71
288,21.527
289,20.543
290,20.847
291,21.31
292,21.558
293,21.268
294,20.252
295,21.685
296,21.653
297,21.473
298,21.061
299,22.0
300,20.982
301,23.184
302,21.725
303,18.25
304,20.693
305,21.803
306,20.504
307,21.218
308,22.159
309,21.815
310,21.82
311,20.776
312,21.235
313,21.988
314,18.897
315,21.388
316,22.007
317,19.947
318,20.724
319,20.665
320,20.604
321,21.746
322,22.655
323,21.746
324,19.408
325,22.373
326,21.28
327,20.691
328,20.087
329,19.665
330,22.01
331,18.962
332,21.395
333,22.875
334,21.634
335,21.218
336,20.452
337,20.591
338,22.066
339,21.732
340,22.117
341,22.423
342,19.712
343,20.767
344,20.536
345,22.745
346,19.295
347,20.497
348,19.846
349,21.76
350,21.779
351,20.919
352,21.675
353,17.759
354,21.269
355,20.63
356,21.06
357,20.442
358,21.057
359,20.263
360,21.146
361,21.188
362,19.64
363,22.475
364,20.57
365,21.681
366,22.788
367,20.726
368,21.042
369,20.746
370,21.568
371,21.011
372,23.134
373,21.426
374,22.554
375,22.544
376,22.524
377,22.866
378,22.692
379,20.52
380,22.776
381,22.879
382,20.653
383,21.18
384,22.69
385,19.841
386,21.439
387,21.131
388,21.27
389,21.077
390,20.959
391,21.591
392,20.943
393,20.946
394,22.36
395,22.448
396,21.336
397,21.94
398,20.12
399,20.231
400,22.163
401,21.805
402,21.476
403,21.725
404,20.925
405,22.178
406,22.548
407,21.966
408,22.189
409,20.949
410,20.966
411,20.887
412,20.597
413,19.951
414,21.719
415,20.806
416,22.574
417,21.915
418,21.472
419,22.612
420,21.83
421,23.009
422,22.567
423,22.053
424,20.551
425,22.336
426,21.477
427,20.542
428,21.657
429,22.661
430,20.815
431,21.029
432,21.843
433,20.232
434,20.64
435,21.379
436,20.756
437,21.433
438,20.611
439,21.158
440,19.338
441,21.626
442,20.148
443,21.725
444,22.695
445,21.207
446,22.019
447,20.001
448,19.883
449,20.141
450,22.121
451,22.382
452,21.625
453,22.445
454,22.219
455,21.593
456,21.588
457,23.218
458,20.363
459,19.713
460,20.725
461,21.477
462,20.322
463,21.843
464,20.448
465,21.626
466,21.236
467,22.215
468,22.183
469,21.878
470,22.314
471,21.867
472,21.41
473,21.581
474,22.078
475,21.543
476,21.749
477,21.477
478,21.91
479,22.703
480,22.488
481,20.855
482,21.835
483,22.388
484,20.6
485,23.352
486,23.118
487,23.097
488,22.405
489,23.703
490,21.951
491,22.366
492,23.537
493,22.929
494,22.372
495,22.181
496,22.889
497,21.886
498,23.086
499,22.081
500,21.911
501,23.553
502,22.737
503,22.494
504,21.145
505,22.083
506,23.24
507,23.024
508,21.508
509,22.304
510,21.161
511,20.636
512,21.846
513,22.603
514,22.036
515,21.832
516,21.248
517,22.357
518,22.082
519,22.121
520,22.765
521,20.984
522,22.21
523,21.646
524,22.336
525,23.009
526,22.759
527,19.798
528,22.087
529,21.231
530,20.86
531,22.629
532,21.815
533,22.671
534,19.721
535,21.268
536,21.316
537,21.898
538,21.787
539,20.539
540,19.729
541,21.06
542,21.941
543,20.366
544,20.811
545,20.284
546,21.431
547,22.208
548,21.03
549,21.686
550,20.398
551,21.09
552,22.372
553,20.303
554,22.313
555,22.861
556,24.167
557,23.527
558,21.89
559,22.89
560,23.272
561,22.046
562,21.932
563,22.625
564,22.199
565,22.671
566,21.971
567,23.348
568,21.591
569,21.768
570,20.059
571,21.961
572,21.44
573,22.364
574,22.011
575,22.48
576,23.057
577,22.071
578,22.05
579,21.507
580,21.635
581,21.33
582,21.497
583,23.21
584,21.454
585,23.185
586,22.142
587,22.371
588,21.515
589,22.814
590,19.703
591,22.777
592,22.962
593,22.487
594,21.444
595,21.457
596,23.374
597,22.424
598,22.084
599,22.073
600,22.784
