episode,reward
0.000000000000000000e+00,9.733333333333336057e+00
1.000000000000000000e+00,2.349999999999999645e+01
2.000000000000000000e+00,2.600000000000001066e+01
3.000000000000000000e+00,2.419999999999999574e+01
4.000000000000000000e+00,6.266666666666668384e+00
5.000000000000000000e+00,1.420000000000000284e+01
6.000000000000000000e+00,9.733333333333336057e+00
7.000000000000000000e+00,1.046666666666667034e+01
8.000000000000000000e+00,2.533333333333333215e+00
9.000000000000000000e+00,1.119937727612443190e+01
1.000000000000000000e+01,9.898711100524181461e+00
1.100000000000000000e+01,9.599999999999999645e+00
1.200000000000000000e+01,4.966044718341951381e+00
1.300000000000000000e+01,1.040000000000000036e+01
1.400000000000000000e+01,4.400000000000000355e+00
1.500000000000000000e+01,3.432710610238158377e+00
1.600000000000000000e+01,1.049871110052418288e+01
1.700000000000000000e+01,7.298711100524180040e+00
1.800000000000000000e+01,1.599999999999999867e+00
1.900000000000000000e+01,1.459937727612443048e+01
2.000000000000000000e+01,1.066479980344048428e+01
2.100000000000000000e+01,5.733333333333332504e+00
2.200000000000000000e+01,1.219937727612443190e+01
2.300000000000000000e+01,3.332710609457763429e+00
2.400000000000000000e+01,8.630390130453502451e+00
2.500000000000000000e+01,7.798711100524181816e+00
2.600000000000000000e+01,1.261248945430854640e+01
2.700000000000000000e+01,7.552639491841606656e+00
2.800000000000000000e+01,1.161264016486089723e+01
2.900000000000000000e+01,4.446796163638108368e+00
3.000000000000000000e+01,1.919044773531683568e+00
3.100000000000000000e+01,2.195355450236966277e+01
3.200000000000000000e+01,2.002022116903633986e+01
3.300000000000000000e+01,1.800000000000000044e+00
3.400000000000000000e+01,9.086887819991302351e+00
3.500000000000000000e+01,2.222022116903633204e+01
3.600000000000000000e+01,9.646445511517450555e+00
3.700000000000000000e+01,9.278816430088708600e+00
3.800000000000000000e+01,2.128688783570299492e+01
3.900000000000000000e+01,1.108626509794030923e+01
4.000000000000000000e+01,9.019909799413587947e+00
4.100000000000000000e+01,2.055288822890593536e+01
4.200000000000000000e+01,1.495355450236966632e+01
4.300000000000000000e+01,1.765378591649179096e+00
4.400000000000000000e+01,8.245868951994468787e+00
4.500000000000000000e+01,8.912489883546822256e+00
4.600000000000000000e+01,2.002022116903633986e+01
4.700000000000000000e+01,2.148626511182742860e+01
4.800000000000000000e+01,4.046451578715395847e+00
4.900000000000000000e+01,2.108626511182743357e+01
5.000000000000000000e+01,9.915424368317488302e+00
5.100000000000000000e+01,2.128688783570299492e+01
5.200000000000000000e+01,8.530975738259877872e+00
5.300000000000000000e+01,2.261974889170218717e+01
5.400000000000000000e+01,1.485247070717899298e+01
5.500000000000000000e+01,4.950541071820655503e+00
5.600000000000000000e+01,2.335293177849402113e+01
5.700000000000000000e+01,2.311821918376824669e+01
5.800000000000000000e+01,2.283517772377551225e+01
5.900000000000000000e+01,6.851823700887378799e+00
6.000000000000000000e+01,2.122022116903633915e+01
6.100000000000000000e+01,1.361835808451245455e+01
6.200000000000000000e+01,8.113112179772050681e+00
6.300000000000000000e+01,2.355137056427338038e+01
6.400000000000000000e+01,8.899890311389123454e+00
6.500000000000000000e+01,8.912541684730836522e+00
6.600000000000000000e+01,9.579778830967843106e+00
6.700000000000000000e+01,2.378496248374572630e+01
6.800000000000000000e+01,2.278641023440312452e+01
6.900000000000000000e+01,2.015355450236967272e+01
7.000000000000000000e+01,2.165226560289384850e+01
7.100000000000000000e+01,2.226671284490637959e+01
7.200000000000000000e+01,1.784582885301108135e+01
7.300000000000000000e+01,2.254515740078459274e+01
7.400000000000000000e+01,2.255355439694606190e+01
7.500000000000000000e+01,4.979307652733428569e+00
7.600000000000000000e+01,1.127848184267096343e+01
7.700000000000000000e+01,2.215202053069381449e+01
7.800000000000000000e+01,6.513112178184119472e+00
7.900000000000000000e+01,1.864679626909342858e+01
8.000000000000000000e+01,1.107788870386630542e+01
8.100000000000000000e+01,2.208506230625251732e+01
8.200000000000000000e+01,2.234470119259642473e+01
8.300000000000000000e+01,4.296760584827294949e+00
8.400000000000000000e+01,2.468537426007907953e+01
8.500000000000000000e+01,2.245293177895378633e+01
8.600000000000000000e+01,2.558557994159654214e+01
8.700000000000000000e+01,1.696272241307543638e+01
8.800000000000000000e+01,2.395162126556030557e+01
8.900000000000000000e+01,2.505235593382969128e+01
9.000000000000000000e+01,3.878840597983976402e+00
9.100000000000000000e+01,2.366420236412970723e+01
9.200000000000000000e+01,1.756474091347338629e+01
9.300000000000000000e+01,2.411896385589687597e+01
9.400000000000000000e+01,1.551932566067312713e+01
9.500000000000000000e+01,2.188688782181987236e+01
9.600000000000000000e+01,2.282901237266160166e+01
9.700000000000000000e+01,2.305246691343182164e+01
9.800000000000000000e+01,1.686834889258556558e+01
9.900000000000000000e+01,9.602306122907890540e+00
1.000000000000000000e+02,1.776541763867540169e+01
1.010000000000000000e+02,2.724509112534098421e+01
1.020000000000000000e+02,1.097978491204873208e+01
1.030000000000000000e+02,7.199649335820980767e+00
1.040000000000000000e+02,7.065693731967077618e+00
