episode,reward
0.000000000000000000e+00,4.846130582293416644e+00
1.000000000000000000e+00,5.243736786013069917e+00
2.000000000000000000e+00,6.169508195865641476e+00
3.000000000000000000e+00,9.055249992084037913e+00
4.000000000000000000e+00,6.974326953027846443e+00
5.000000000000000000e+00,5.052976002277276280e+00
6.000000000000000000e+00,7.871786329747936684e+00
7.000000000000000000e+00,4.575807851616223942e+00
8.000000000000000000e+00,7.173186602690317493e+00
9.000000000000000000e+00,7.368440511904262635e+00
1.000000000000000000e+01,8.872121926412216197e+00
1.100000000000000000e+01,6.819997146763435936e+00
1.200000000000000000e+01,6.660125042629900349e+00
1.300000000000000000e+01,8.804669446052288961e+00
1.400000000000000000e+01,5.578566889034291876e+00
1.500000000000000000e+01,5.621458640169635146e+00
1.600000000000000000e+01,7.464037383161982397e+00
1.700000000000000000e+01,7.923335928068413025e+00
1.800000000000000000e+01,5.351263998379909737e+00
1.900000000000000000e+01,5.043281815876925478e+00
2.000000000000000000e+01,9.381602724086777201e+00
2.100000000000000000e+01,6.628649239928161130e+00
2.200000000000000000e+01,7.674507229773519512e+00
2.300000000000000000e+01,8.484294085986041623e+00
2.400000000000000000e+01,8.554366858448005928e+00
2.500000000000000000e+01,6.047193238156156170e+00
2.600000000000000000e+01,7.057292694981721404e+00
2.700000000000000000e+01,9.547853656703352954e+00
2.800000000000000000e+01,1.147979323973029508e+01
2.900000000000000000e+01,1.273430012529437150e+01
3.000000000000000000e+01,9.960690138494603829e+00
3.100000000000000000e+01,7.276643181260412874e+00
3.200000000000000000e+01,1.313942732460072271e+01
3.300000000000000000e+01,1.155327031528273629e+01
3.400000000000000000e+01,1.531384687721581450e+01
3.500000000000000000e+01,1.537326986246556793e+01
3.600000000000000000e+01,1.657774797969157277e+01
3.700000000000000000e+01,1.838742353478081526e+01
3.800000000000000000e+01,1.947416610054117214e+01
3.900000000000000000e+01,2.080424436915104636e+01
4.000000000000000000e+01,1.918864759337474624e+01
4.100000000000000000e+01,2.002948316468329182e+01
4.200000000000000000e+01,1.819926604756614097e+01
4.300000000000000000e+01,2.133466435771885372e+01
4.400000000000000000e+01,1.947050263137812820e+01
4.500000000000000000e+01,2.000314441466974102e+01
4.600000000000000000e+01,2.010667846013764759e+01
4.700000000000000000e+01,1.950975801440247182e+01
4.800000000000000000e+01,2.035792536282358967e+01
4.900000000000000000e+01,1.945500777599569986e+01
5.000000000000000000e+01,2.109179466152311733e+01
5.100000000000000000e+01,1.914828633351986653e+01
5.200000000000000000e+01,1.816688783569983201e+01
5.300000000000000000e+01,2.126679595200767992e+01
5.400000000000000000e+01,1.953960223338726365e+01
5.500000000000000000e+01,2.043309145469295274e+01
5.600000000000000000e+01,2.119332321241521910e+01
5.700000000000000000e+01,2.151998993945692717e+01
5.800000000000000000e+01,1.998656072070524914e+01
5.900000000000000000e+01,2.120331491721887573e+01
6.000000000000000000e+01,2.146688382476038015e+01
6.100000000000000000e+01,2.144513192708668115e+01
6.200000000000000000e+01,2.062688783447625696e+01
6.300000000000000000e+01,2.109352004146573023e+01
6.400000000000000000e+01,2.124015875008572607e+01
6.500000000000000000e+01,2.107179459200979110e+01
6.600000000000000000e+01,2.031355049024251969e+01
6.700000000000000000e+01,2.138688783570300345e+01
6.800000000000000000e+01,2.094682693799054007e+01
6.900000000000000000e+01,2.160664746907596268e+01
7.000000000000000000e+01,2.141352405359285882e+01
7.100000000000000000e+01,2.143179860274599235e+01
7.200000000000000000e+01,2.085176821421172377e+01
7.300000000000000000e+01,2.104355449116672361e+01
7.400000000000000000e+01,2.113619311721694061e+01
7.500000000000000000e+01,2.087354943659746098e+01
7.600000000000000000e+01,2.087179867246569387e+01
7.700000000000000000e+01,2.174513140674128664e+01
7.800000000000000000e+01,1.967329283319076438e+01
7.900000000000000000e+01,2.131688780818790718e+01
8.000000000000000000e+01,2.129355450236338498e+01
8.100000000000000000e+01,2.077998985042656344e+01
8.200000000000000000e+01,2.058314495547489997e+01
8.300000000000000000e+01,2.120021715915927984e+01
8.400000000000000000e+01,2.077352352556449233e+01
8.500000000000000000e+01,2.076688715944584018e+01
8.600000000000000000e+01,2.114463910672913727e+01
8.700000000000000000e+01,2.081685720918772375e+01
8.800000000000000000e+01,2.009153264764356805e+01
8.900000000000000000e+01,1.960176815415152163e+01
9.000000000000000000e+01,2.011981147404539527e+01
9.100000000000000000e+01,2.122153633603290857e+01
9.200000000000000000e+01,2.158006816463155531e+01
9.300000000000000000e+01,1.976439187028459443e+01
9.400000000000000000e+01,2.098138912509489984e+01
9.500000000000000000e+01,2.019352404320648731e+01
9.600000000000000000e+01,1.838486222674644210e+01
9.700000000000000000e+01,2.165823356182813697e+01
9.800000000000000000e+01,1.943509353618166458e+01
9.900000000000000000e+01,2.104508498077418466e+01
